ID,Categoria,Produto,Preco,Custo,Marca,Data,Estoque,Status,Pagamento_Comum,Avaliacao,Qtd_Comprada
1088,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-02-18,44,Esgotado,Boleto,3.7,1
1089,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-12-20,61,Em Trânsito,Cartão de Crédito,4.7,1
1090,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-06-25,28,Em Trânsito,Transferência Bancária,4.9,2
1091,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-10-04,45,Esgotado,Cartão de Crédito,4.0,1
1092,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2024-02-01,61,Esgotado,Cartão de Crédito,4.4,2
1093,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-03-26,54,Esgotado,Boleto,4.9,2
1094,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2024-04-15,48,Em Trânsito,Transferência Bancária,3.3,2
1095,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-02-27,21,Em Trânsito,Boleto,4.5,1
1096,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-02-18,26,Esgotado,Transferência Bancária,4.9,2
1097,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-04-26,73,Disponível,Pix,4.8,1
1098,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-05-21,73,Esgotado,Boleto,3.5,1
1099,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-08-18,17,Disponível,Boleto,3.8,1
1100,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-06-10,59,Disponível,Pix,4.6,1
1101,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-09-04,31,Disponível,Transferência Bancária,3.0,1
1102,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-09-06,26,Esgotado,Transferência Bancária,4.4,1
1103,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-12-02,73,Esgotado,Pix,3.0,1
1104,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-07-15,84,Disponível,Boleto,3.8,1
1105,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-08-24,13,Em Trânsito,Transferência Bancária,3.8,2
1106,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-11-03,70,Disponível,Boleto,4.1,2
1107,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-03-08,26,Esgotado,Pix,4.7,1
1108,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-05-13,27,Em Trânsito,Transferência Bancária,4.5,1
1109,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-11-13,78,Esgotado,Cartão de Crédito,4.4,1
1110,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-11-29,87,Disponível,Cartão de Crédito,3.5,2
1111,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-07-02,29,Esgotado,Transferência Bancária,4.0,1
1112,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-02-18,34,Disponível,Boleto,4.4,1
1113,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-01-26,10,Em Trânsito,Transferência Bancária,3.4,2
1114,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-01-30,57,Em Trânsito,Transferência Bancária,3.2,1
1115,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-02-27,54,Em Trânsito,Boleto,3.3,1
1116,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2024-04-18,55,Em Trânsito,Pix,3.5,1
1117,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-01-03,38,Esgotado,Transferência Bancária,4.6,1
1118,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-10-23,46,Em Trânsito,Cartão de Crédito,4.8,2
1119,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-07-03,51,Esgotado,Cartão de Crédito,4.1,2
1120,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-03-14,39,Em Trânsito,Cartão de Crédito,3.8,1
1121,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-07-22,56,Esgotado,Pix,4.6,2
1122,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-09-26,21,Esgotado,Pix,4.7,1
1123,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-01-01,91,Esgotado,Transferência Bancária,3.8,1
1124,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-09-01,22,Disponível,Boleto,5.0,1
1125,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-12-11,24,Esgotado,Cartão de Crédito,4.4,2
1126,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-09-25,47,Disponível,Pix,3.1,1
1127,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-12-16,44,Disponível,Cartão de Crédito,3.7,2
1128,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-11-24,66,Esgotado,Pix,4.1,1
1129,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-08-11,48,Em Trânsito,Transferência Bancária,5.0,2
1130,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-02-17,5,Disponível,Pix,3.2,1
1131,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-01-18,10,Em Trânsito,Pix,4.7,1
1132,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-10-21,35,Disponível,Cartão de Crédito,3.8,1
1133,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-06-10,57,Em Trânsito,Transferência Bancária,3.4,2
1134,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-11-17,73,Esgotado,Boleto,3.8,1
1135,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2025-06-26,20,Esgotado,Transferência Bancária,3.7,2
1136,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-02-28,90,Disponível,Pix,3.2,1
1137,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-08-13,55,Esgotado,Cartão de Crédito,4.6,1
1138,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-07-30,79,Esgotado,Pix,4.8,1
1139,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-09-22,57,Esgotado,Transferência Bancária,5.0,1
1140,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-05-14,24,Disponível,Transferência Bancária,4.0,1
1141,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-12-06,93,Esgotado,Boleto,3.1,1
1142,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-06-28,16,Em Trânsito,Transferência Bancária,4.7,2
1143,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-01-30,77,Disponível,Transferência Bancária,4.9,1
1144,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-06-23,33,Esgotado,Boleto,4.9,2
1145,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-03-18,14,Em Trânsito,Cartão de Crédito,4.7,2
1146,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-12-27,55,Em Trânsito,Pix,4.2,1
1147,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-08-31,27,Disponível,Transferência Bancária,4.5,2
1148,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-06-07,25,Esgotado,Transferência Bancária,3.0,2
1149,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-07-08,17,Em Trânsito,Boleto,3.5,1
1150,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-03-08,1,Em Trânsito,Boleto,4.8,2
1151,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-05-22,66,Em Trânsito,Cartão de Crédito,4.7,1
1152,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-05-19,61,Disponível,Cartão de Crédito,5.0,2
1153,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-07-17,52,Esgotado,Pix,4.8,1
1154,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-09-17,10,Disponível,Transferência Bancária,4.3,1
1155,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-07-20,58,Disponível,Pix,4.2,2
1156,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-08-11,29,Disponível,Transferência Bancária,4.8,2
1157,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-11-13,63,Esgotado,Pix,4.6,1
1158,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-08-30,32,Disponível,Boleto,3.6,2
1159,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-09-20,56,Em Trânsito,Pix,4.0,1
1160,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-03-09,26,Em Trânsito,Pix,3.5,1
1161,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-09-09,65,Disponível,Pix,4.3,2
1162,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-04-07,27,Esgotado,Cartão de Crédito,4.3,1
1163,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-04-04,8,Em Trânsito,Boleto,3.6,2
1164,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-11-23,43,Disponível,Cartão de Crédito,4.8,1
1165,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-10-01,7,Esgotado,Boleto,4.6,2
1166,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-04-05,95,Esgotado,Cartão de Crédito,4.5,1
1167,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-12-04,28,Disponível,Boleto,3.5,1
1168,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-10-03,96,Disponível,Boleto,4.8,1
1169,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-05-01,19,Esgotado,Transferência Bancária,3.5,1
1170,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2025-05-13,98,Esgotado,Transferência Bancária,4.4,2
1171,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2024-10-19,65,Em Trânsito,Transferência Bancária,4.9,2
1172,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-02-06,28,Em Trânsito,Cartão de Crédito,4.0,1
1173,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2024-02-25,37,Em Trânsito,Cartão de Crédito,5.0,1
1174,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-03-12,93,Disponível,Pix,4.3,1
1175,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-09-13,73,Em Trânsito,Boleto,4.6,2
1176,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-03-01,94,Esgotado,Cartão de Crédito,4.9,1
1177,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2025-07-16,91,Em Trânsito,Boleto,3.2,1
1178,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-04-22,54,Disponível,Cartão de Crédito,3.0,1
1179,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-03-27,84,Esgotado,Transferência Bancária,4.6,1
1180,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2025-09-27,16,Esgotado,Boleto,4.2,1
1181,Celulares,Motorola Edge 20,"12.970,07","8149,33",Motorola,2024-09-18,39,Em Trânsito,Transferência Bancária,4.5,1
1182,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2025-10-28,37,Em Trânsito,Pix,4.2,1
1183,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-06-10,57,Esgotado,Cartão de Crédito,4.3,1
1184,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-10-29,23,Em Trânsito,Transferência Bancária,4.6,1
1185,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-10-31,54,Em Trânsito,Boleto,3.2,2
1186,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-10-03,98,Em Trânsito,Pix,3.9,2
1187,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2025-10-20,29,Disponível,Pix,3.5,2
1188,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2025-03-07,36,Em Trânsito,Pix,3.2,1
1189,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-11-29,71,Em Trânsito,Boleto,4.4,1
1190,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-02-08,75,Disponível,Boleto,4.5,1
1191,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-06-18,74,Esgotado,Pix,3.8,1
1192,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-08-10,21,Esgotado,Transferência Bancária,5.0,1
1193,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-06-04,93,Em Trânsito,Pix,3.4,1
1194,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-10-21,63,Esgotado,Transferência Bancária,4.9,1
1195,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-12-25,6,Disponível,Transferência Bancária,3.2,2
1196,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-05-07,68,Esgotado,Pix,4.0,2
1197,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-10-21,39,Em Trânsito,Pix,3.3,1
1198,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2025-04-06,65,Disponível,Transferência Bancária,4.8,1
1199,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-09-25,22,Em Trânsito,Pix,3.2,2
1200,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-09-15,45,Em Trânsito,Pix,3.7,1
1201,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-10-24,57,Disponível,Boleto,4.0,2
1202,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-08-17,57,Disponível,Pix,4.0,1
1203,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-03-06,24,Disponível,Pix,4.2,1
1204,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-02-21,20,Em Trânsito,Transferência Bancária,3.8,1
1205,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2025-09-16,77,Esgotado,Pix,3.9,1
1206,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-01-19,1,Em Trânsito,Cartão de Crédito,4.3,1
1207,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-04-21,21,Em Trânsito,Transferência Bancária,3.1,2
1208,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-06-26,79,Esgotado,Transferência Bancária,4.4,1
1209,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-12-26,67,Em Trânsito,Boleto,3.7,2
1210,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-12-11,4,Em Trânsito,Boleto,4.8,1
1211,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-10-25,93,Em Trânsito,Boleto,4.2,1
1212,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-03-22,22,Em Trânsito,Boleto,4.7,1
1213,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-03-29,97,Em Trânsito,Boleto,5.0,2
1214,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-07-07,32,Em Trânsito,Transferência Bancária,3.8,1
1215,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-04-16,98,Em Trânsito,Cartão de Crédito,3.0,1
1216,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-06-18,38,Disponível,Transferência Bancária,4.5,1
1217,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-08-27,96,Em Trânsito,Transferência Bancária,4.5,2
1218,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-04-13,39,Esgotado,Boleto,4.2,1
1219,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2024-10-24,56,Em Trânsito,Cartão de Crédito,3.5,2
1220,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-03-03,71,Esgotado,Pix,3.9,2
1221,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-03-08,16,Disponível,Cartão de Crédito,3.4,2
1222,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-12-21,19,Esgotado,Cartão de Crédito,3.2,2
1223,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-06-26,32,Em Trânsito,Cartão de Crédito,4.8,1
1224,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-02-09,52,Disponível,Cartão de Crédito,3.2,1
1225,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-03-23,94,Disponível,Cartão de Crédito,3.6,1
1226,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-04-11,81,Esgotado,Boleto,4.9,1
1227,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-05-29,56,Disponível,Boleto,4.7,1
1228,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2025-12-18,56,Disponível,Pix,3.2,2
1229,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-12-06,24,Disponível,Transferência Bancária,3.9,1
1230,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-08-28,40,Em Trânsito,Cartão de Crédito,4.7,1
1231,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-02-23,49,Disponível,Transferência Bancária,3.3,1
1232,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-07-27,78,Esgotado,Boleto,4.9,2
1233,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2025-08-23,76,Esgotado,Pix,3.8,1
1234,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-08-16,76,Disponível,Boleto,3.3,1
1235,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-09-05,87,Em Trânsito,Pix,4.2,1
1236,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2024-04-15,24,Esgotado,Boleto,5.0,1
1237,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-10-19,9,Disponível,Transferência Bancária,4.2,1
1238,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-12-15,67,Em Trânsito,Cartão de Crédito,3.7,1
1239,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-12-14,84,Em Trânsito,Transferência Bancária,3.6,1
1240,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-07-18,10,Esgotado,Transferência Bancária,4.4,2
1241,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-11-21,42,Esgotado,Transferência Bancária,4.9,1
1242,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2025-04-09,36,Em Trânsito,Pix,4.6,1
1243,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-03-14,85,Em Trânsito,Transferência Bancária,5.0,1
1244,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-08-20,4,Em Trânsito,Pix,4.5,2
1245,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-03-22,78,Esgotado,Cartão de Crédito,3.4,1
1246,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-09-27,15,Esgotado,Boleto,4.4,1
1247,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-11-07,54,Esgotado,Pix,4.1,1
1248,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-11-02,79,Esgotado,Transferência Bancária,4.4,1
1249,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-02-06,28,Esgotado,Transferência Bancária,4.7,1
1250,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-09-27,33,Disponível,Boleto,4.3,2
1251,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-07-08,3,Disponível,Pix,4.7,1
1252,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-12-26,73,Em Trânsito,Cartão de Crédito,3.1,1
1253,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-04-27,25,Disponível,Transferência Bancária,4.3,1
1254,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-03-05,60,Em Trânsito,Pix,4.9,2
1255,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-03-17,16,Disponível,Transferência Bancária,3.0,1
1256,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-11-29,40,Esgotado,Boleto,4.2,1
1257,Celulares,iPhone 11,"6.160,88","3945,07",Apple,2024-03-01,30,Esgotado,Pix,4.2,1
1258,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-03-15,70,Disponível,Transferência Bancária,3.0,1
1259,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-12-30,54,Esgotado,Cartão de Crédito,4.7,1
1260,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-12-01,8,Em Trânsito,Cartão de Crédito,3.2,1
1261,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-08-18,61,Disponível,Pix,4.0,1
1262,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2024-10-16,52,Em Trânsito,Pix,4.3,1
1263,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2025-10-17,87,Em Trânsito,Pix,4.5,1
1264,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-10-11,40,Em Trânsito,Boleto,3.9,2
1265,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-07-09,12,Esgotado,Cartão de Crédito,4.7,2
1266,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-02-15,14,Disponível,Pix,4.3,1
1267,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-07-15,65,Esgotado,Cartão de Crédito,3.4,1
1268,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-07-09,6,Em Trânsito,Cartão de Crédito,3.9,1
1269,Fones de Ouvido,AirPods Pro,"2.289,04","1700,71",Apple,2024-06-30,9,Em Trânsito,Boleto,4.8,2
1270,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-10-24,15,Em Trânsito,Pix,4.1,1
1271,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2025-02-21,86,Disponível,Pix,4.5,1
1272,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2025-12-07,54,Em Trânsito,Transferência Bancária,3.3,2
1273,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2025-07-04,17,Disponível,Transferência Bancária,4.6,1
1274,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-10-30,30,Esgotado,Boleto,5.0,2
1275,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2025-03-29,93,Esgotado,Boleto,4.5,1
1276,Mouse,Razer DeathAdder,"12.287,34","8646,55",Razer,2024-01-25,30,Em Trânsito,Cartão de Crédito,3.9,1
1277,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-04-03,45,Em Trânsito,Boleto,4.7,1
1278,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-04-30,92,Disponível,Boleto,4.0,1
1279,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-02-03,27,Esgotado,Transferência Bancária,3.2,1
1280,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-03-11,98,Em Trânsito,Transferência Bancária,4.0,1
1281,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-10-17,97,Esgotado,Cartão de Crédito,4.2,1
1282,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-04-27,96,Esgotado,Pix,3.0,1
1283,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-05-15,18,Em Trânsito,Pix,4.1,2
1284,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2025-11-18,27,Esgotado,Pix,3.5,1
1285,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2025-01-17,16,Disponível,Boleto,4.4,2
1286,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-04-29,68,Disponível,Transferência Bancária,4.8,1
1287,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-10-12,19,Esgotado,Transferência Bancária,3.3,2
1288,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-02-22,43,Disponível,Transferência Bancária,3.5,1
1289,Teclado,Corsair K95,"12.406,25","9161,07",Corsair,2024-02-09,75,Esgotado,Pix,3.1,2
1290,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2024-09-29,17,Disponível,Cartão de Crédito,3.0,2
1291,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-08-29,55,Disponível,Pix,3.9,1
1292,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-06-17,93,Em Trânsito,Cartão de Crédito,3.8,1
1293,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-06-28,38,Esgotado,Pix,3.1,2
1294,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-08-16,77,Esgotado,Transferência Bancária,4.3,1
1295,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-10-27,48,Disponível,Boleto,4.3,1
1296,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2025-04-18,36,Disponível,Boleto,4.9,1
1297,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-11-22,18,Disponível,Transferência Bancária,4.0,1
1298,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-07-21,47,Disponível,Pix,4.3,1
1299,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-10-21,83,Esgotado,Boleto,3.2,2
1300,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2024-07-16,83,Esgotado,Boleto,4.7,1
1301,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-06-24,73,Em Trânsito,Cartão de Crédito,4.2,1
1302,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-10-12,59,Esgotado,Transferência Bancária,4.8,2
1303,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-06-21,34,Em Trânsito,Pix,4.9,2
1304,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-06-18,38,Esgotado,Cartão de Crédito,3.8,1
